	R	i	s	e	t	o	v	o	t	e	s	i	r	t	h	e	p	e	o	p	l	e	a	r	e	w	a	i	t	i	n	g	
R	1	1	1	1	1	1	1	3	5	7	9	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	13	13	13	
i		1	1	1	1	1	1	3	5	7	9	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	13	13	13	
s			1	1	1	1	1	3	5	7	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	11	11	11	11	
e				1	1	1	1	3	5	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	9	9	9	11	11	11	11	
t					1	1	1	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	7	9	9	9	9	11	11	11	11	
o						1	1	3	3	3	3	3	3	3	3	3	3	3	5	5	5	5	5	7	9	9	9	9	11	11	11	11	
v							1	1	1	1	1	1	1	3	3	3	3	3	5	5	5	5	5	7	9	9	9	9	11	11	11	11	
o								1	1	1	1	1	1	3	3	3	3	3	5	5	5	5	5	7	9	9	9	9	11	11	11	11	
t									1	1	1	1	1	3	3	3	3	3	3	3	3	5	5	7	9	9	9	9	11	11	11	11	
e										1	1	1	1	1	1	3	3	3	3	3	3	5	5	7	9	9	9	9	9	9	9	9	
s											1	1	1	1	1	1	1	3	3	3	3	5	5	7	7	7	7	9	9	9	9	9	
i												1	1	1	1	1	1	3	3	3	3	5	5	7	7	7	7	9	9	9	9	9	
r													1	1	1	1	1	3	3	3	3	5	5	7	7	7	7	7	7	7	7	7	
t														1	1	1	1	3	3	3	3	5	5	5	5	5	5	5	7	7	7	7	
h															1	1	1	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	
e																1	1	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	
p																	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	
e																		1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	
o																			1	1	1	1	1	1	3	3	3	3	3	3	3	3	
p																				1	1	1	1	1	3	3	3	3	3	3	3	3	
l																					1	1	1	1	3	3	3	3	3	3	3	3	
e																						1	1	1	3	3	3	3	3	3	3	3	
a																							1	1	1	1	3	3	3	3	3	3	
r																								1	1	1	1	1	1	3	3	3	
e																									1	1	1	1	1	3	3	3	
w																										1	1	1	1	3	3	3	
a																											1	1	1	3	3	3	
i																												1	1	3	3	3	
t																													1	1	1	1	
i																														1	1	1	
n																															1	1	
g																																1	
13
